id,name,city,country,count,normaldist
101,Kevin Christensen,San Juan (San Juan de Tibás],Netherlands,68397,11.2801475985
102,Vernon Quinn,Melrose,United States,97090,11.3161901890
103,Amela Mays,Dublin,Peru,33719,8.3383590783
104,September Mccray,Little Rock,Netherlands,18795,9.2233189499
105,Macon Raymond,Tam Kỳ,Peru,36020,13.0703106108
106,Jolie Burch,Lorient,Nigeria,39721,8.4739558475
107,Sybil Shields,Cranbrook,Ukraine,91044,8.9094035416
108,Harlan Reyes,Palma de Mallorca,Canada,54817,12.6483064899
109,Henry O'donnell,Mata de Plátano,Germany,26464,9.8995226683
110,Keelie Donovan,Kraków,Vietnam,87490,8.9274831459
111,Lyle Chavez,Santarém,Indonesia,73027,10.6993108753
112,Alexander Sullivan,Silvassa,United Kingdom,78174,8.9127162447
113,Brandon Horne,Bellville,Mexico,83590,10.3575228477
114,Noel Roy,Sheikhupura,Chile,13618,11.1125046854
115,Illiana Morales,Turgutlu,Indonesia,92918,10.0756718351
116,Colt Pugh,Cajazeiras,South Africa,38692,11.4236175299
117,Zelenia Nolan,Canberra,Ireland,48995,9.6898275327
118,Tyrone Evans,Fresia,Russian Federation,80259,9.1333616633
119,Byron Parks,Hà Nội,Austria,80830,8.5229320715
120,Ursa Robbins,Hà Tĩnh,Peru,57131,12.1805473958
121,Denise Hardin,Maiduguri,France,61211,12.0999866296
122,Pamela Dudley,New Plymouth,United States,29475,10.2167765521
123,Kristen Leblanc,Ourense,Canada,92258,10.0915056965
124,May Weiss,Chongqing,Spain,89708,11.9372204448
125,Bradley Knox,Shillong,Vietnam,10737,9.8334349537
126,Neil Cooke,Jafarabad,Russian Federation,39135,11.5732563756
127,Kiona Guzman,Ferlach,Sweden,43116,9.5483231833
128,Dorian Carver,Puntarenas,Russian Federation,2546,10.4287181804
129,Maya Morin,Termini Imerese,France,40866,11.5433448229
130,Naida Robertson,Salzburg,India,58611,9.5779813546
131,Wylie Wright,Inner Mongolia,Singapore,5374,7.9768846888
132,Hamilton Barron,Laoag,Colombia,59171,9.9328488594
133,Kamal Miles,Laoag,South Africa,80297,9.2666876231
134,Ava Green,Saintes,Brazil,90741,11.0326873858
135,Bethany Ball,Opole,Austria,86100,9.4866104899
136,Kennedy Hopkins,Grahamstown,Philippines,96377,7.5399067842
137,Geoffrey Chase,Schiltigheim,Pakistan,24505,9.7041302628
138,Bo Good,Yaroslavl,United States,47889,11.4449505759
139,Nissim Thornton,Nieuwegein,New Zealand,27021,9.5866088988
140,Noah Albert,Klerksdorp,Netherlands,5303,9.6291306962
141,Emery Howell,Silchar,Norway,81052,8.7333975182
142,Simon Burnett,Mohmand Agency,Colombia,81140,10.2964529214
143,McKenzie Sparks,Phan Rang–Tháp Chàm,Spain,68960,10.2855366694
144,Merritt Acosta,Portobuffolè,Austria,82,8.8623986298
145,Inga Forbes,Gorzów Wielkopolski,Australia,3084,10.3997063007
146,Inez Morales,Sanghar,Brazil,35347,9.1754459458
147,Hayes Newton,Racine,Pakistan,28762,8.3597343088
148,Julian Munoz,Voronezh,India,55585,8.2065091798
149,Sheila Travis,Pretoro,Vietnam,62067,8.9570877411
150,Medge Rios,Vĩnh Trụ,South Africa,18061,8.4687840441
151,Martina Mills,Sosnowiec,Ukraine,53798,10.8532232164
152,Martin Mack,Sibolga,Chile,94605,10.0797073694
153,Dahlia Hartman,Cà Mau,Sweden,85633,9.9234489282
154,Illana Mercer,Davangere,Australia,72684,8.8386149823
155,Frances Norris,Greater Hobart,Singapore,60617,10.5455785068
156,Harlan Bradshaw,Tengah,Norway,63413,10.8051314222
157,Serena Ryan,Blairgowrie,Indonesia,58071,9.5303462210
158,Ulla Wooten,Daknam,Ireland,91133,8.2650692671
159,Tanisha Hampton,Lunel,Philippines,35735,10.4581800832
160,Camden Bridges,Bydgoszcz,Germany,95462,10.2712866684
161,Oren Carson,Guápiles,Nigeria,55820,11.6241100251
162,Avram Oneil,Kidwelly,Ukraine,18423,7.9309456252
163,Karina Perez,Port Nolloth,Belgium,26124,10.5387706985
164,Brent Rosario,Halesowen,Vietnam,75755,10.5596923208
165,Tanner Mcintyre,Colchane,United Kingdom,15423,8.0381725841
166,Carl Jefferson,Almere,Spain,82551,9.4675471692
167,Mariam Gallegos,Steinkjer,Mexico,78585,8.6166006726
168,Kristen Bowers,Ciénaga,Vietnam,25261,12.5156911044
169,Kim Kirkland,Tacurong,Costa Rica,9524,8.4682570316
170,Gregory Miller,Wigtown,Russian Federation,11458,9.3344241954
171,Phelan Norris,Ambon,South Korea,19989,9.0954192241
172,Leonard Barlow,Inner Mongolia,Poland,40810,9.8673961998
173,Lucius Flowers,Markham,Austria,1299,9.3213453147
174,Zachery Cervantes,Völkermarkt,Singapore,81441,10.5485889507
175,Shea Vega,Jabbeke,Russian Federation,560,8.9537290135
176,Cadman Buckner,Rio nell'Elba,Philippines,27331,9.3571220428
177,Sarah Ferrell,Ulundi,Poland,17768,10.8236268594
178,Medge Owen,Jecheon,Singapore,54870,9.3116215505
179,Nissim Knowles,Zwickau,United States,10631,9.3293823262
180,Lucius Thomas,Digos,Poland,6517,9.8085532355
181,Thor Pittman,Sembawang,Singapore,62292,9.7934484023
182,MacKenzie Burke,Saalfelden am Steinernen Meer,Spain,66116,10.2397606587
183,Fay Chandler,Shandong,India,96055,10.7978205939
184,Petra Hendrix,Augusta,Mexico,32117,9.3237538334
185,Merrill Hernandez,Veere,Norway,60162,10.5409317902
186,Hadassah Bennett,Morolo,Ukraine,24658,8.6803069664
187,Kevyn Mooney,Sibasa,Norway,26285,11.4144954915
188,Avram French,Berdychiv,China,66776,8.3550765723
189,Malcolm Travis,New Radnor,Russian Federation,31652,6.3541371693
190,Larissa Singleton,Göppingen,India,36173,9.4829383930
191,Bert Hayes,Roermond,Canada,60403,10.0276709631
192,Eagan Mccoy,Steinkjer,United States,44930,10.0668131212
193,Anastasia Hickman,Canberra,France,54699,9.2527473065
194,Jeremy Lang,Ranchi,Singapore,348,9.7510485868
195,Murphy Navarro,Quảng Ngãi,Canada,24401,8.2178040621
196,Emery Robinson,Magangué,Indonesia,5643,10.8731395364
197,Erich Fields,Liberia,Spain,51501,10.8508307420
198,Ramona Mccall,Makassar,Australia,35094,11.0366667611
199,Brock Swanson,Mobile,Colombia,65788,11.9192599392
200,Aphrodite Hayes,Åkrehamn,Vietnam,64253,10.4310411008
201,Lars Carroll,Santa Rosa de Cabal,Nigeria,87186,9.3977908350
202,Ralph Padilla,Oklahoma City,Sweden,82444,9.1413078603
203,Candice Crawford,San Cesario di Lecce,United Kingdom,80710,12.6736604223
204,Armand Barrett,Bukit Merah,Italy,74057,9.2025868549
205,Murphy Downs,Grafton,Belgium,20472,10.3906647719
206,Cullen Haynes,Toba Tek Singh,Germany,52754,8.8309999037
207,Melanie Barlow,Trà Vinh,Germany,90341,10.0137251102
208,Evan Langley,Villa del Rosario,Chile,65955,11.1915596625
209,Ulric Curtis,Tulln an der Donau,Belgium,28463,9.4820143601
210,Dai Wright,Flin Flon,United States,42629,11.4358667948
211,Rhea Howe,Wattrelos,Vietnam,21699,10.7549866919
212,Lewis Martin,Owerri,Brazil,90286,11.2525847558
213,Dara Park,Kon Tum,Russian Federation,71232,8.7515365533
214,Kameko Reed,Bellegem,Nigeria,2421,10.1633734427
215,Cathleen Cantu,Seogwipo,Philippines,61526,9.9630042441
216,Malik Bishop,Wanganui,Peru,83159,11.1645473677
217,Destiny Riley,Chagai,United States,12708,11.7912523157
218,Ginger Mcmillan,Cao Lãnh,China,59359,9.3690882699
219,Micah Chan,Słupsk,Pakistan,56948,10.2075301022
220,Stephanie Chen,Åkersberga,India,84917,9.3315300003
221,Noah Skinner,Celaya,Ireland,39871,9.0578721196
222,Igor Ryan,Solok,France,29584,9.6153806302
223,Eliana Jarvis,Bostaniçi,Ukraine,86914,10.9551269880
224,Lacota Cantrell,Hougang,United States,22333,10.7167619726
225,Miriam Rice,St. Clears,Philippines,90274,9.7805224599
226,Mary Molina,San Isidro de El General,South Africa,56654,8.3944029370
227,Yoshio Jennings,Canberra,France,7596,10.7168316072
228,Amity Higgins,Tidore,Netherlands,46655,10.2010585119
229,Libby Byrd,Grimstad,Netherlands,2028,7.6777725898
230,Doris Cooper,Welland,Peru,15159,9.7685896733
231,Fritz Simpson,Malaybalay,France,34203,7.2554803547
232,Jordan Salinas,Jaén,United Kingdom,47119,11.0808814381
233,Elijah Rowland,Vitória da Conquista,South Korea,3986,8.1967015837
234,Chaim Henderson,Mamuju,Indonesia,71312,10.4576991122
235,Eliana Aguirre,Guizhou,China,7880,9.5285804576
236,Maggy Foley,Ferness,Indonesia,15555,10.0642673456
237,Iliana Morrow,Egersund,Turkey,11091,10.3157711910
238,Amos Rhodes,Dunedin,Chile,69514,8.6094462055
239,Kasper Estrada,Paya Lebar,Australia,46420,7.3703003286
240,Juliet Hutchinson,Minitonas,Austria,68557,8.4664268702
241,Melyssa Franklin,Belfast,Poland,10026,9.2472720856
242,Olga Vargas,Jeongeup,Russian Federation,57771,10.9778369373
243,Peter Willis,Juliaca,Indonesia,98847,9.3266444327
244,Macaulay Stephenson,Punggol,Germany,55664,8.1230832428
245,Ruby Brennan,Florianópolis,Nigeria,64239,9.3648174806
246,Raya Elliott,La Paz,Ukraine,31712,10.1492359531
247,Otto Soto,Shostka,Turkey,4207,8.7554122611
248,Yasir Griffith,San Juan de Pasto,Costa Rica,1603,10.9392888474
249,Thor Craft,Delicias,Costa Rica,52957,11.6252576369
250,Nevada Neal,Châlons-en-Champagne,Netherlands,61186,10.8637728758
251,Craig Hicks,Zaragoza,Mexico,38572,9.9387507165
252,Clark Gonzalez,Oudtshoorn,Germany,32091,9.9338926392
253,Wayne Burris,Trollhättan,Singapore,2669,9.8712720650
254,Jolene Reynolds,Sandviken,Mexico,17700,9.5389118492
255,Lila Chase,Jeonju,Norway,87296,9.1001889269
256,Barclay Waller,Puerto Carreño,Australia,48521,10.6726522039
257,Damon Douglas,Amstelveen,Canada,52020,11.6850570156
258,Aaron Schneider,Zwolle,Ireland,52414,8.1218230798
259,Stephanie Little,Puntarenas,India,77209,9.4200454195
260,Bernard Petersen,Traiskirchen,Turkey,32512,9.7693076936
261,Grant Baird,Seogwipo,Spain,127,12.5014864287
262,Felicia Hickman,Pinkafeld,China,39376,9.4268265122
263,Leonard Durham,Shimla,Ukraine,24219,6.6581044873
264,Tatiana Soto,Mjölby,Vietnam,41294,9.5718949554
265,Roary Collins,Kano,New Zealand,27158,9.4894865343
266,Stella Fulton,Jeju,Belgium,85572,8.1869239134
267,Ishmael French,Smolensk,France,63320,11.4711994769
268,Lucius Roach,Antibes,Italy,9800,10.2900234380
269,Flavia Hodges,Asan,Ukraine,33936,12.1765241370
270,Hillary Hill,Mandai,India,34421,10.1564643806
271,Emmanuel Herrera,Quilicura,Ukraine,96142,10.0705329205
272,Candace Coffey,Moulins,New Zealand,67540,6.5626905118
273,Oliver Mooney,Ibagué,Belgium,90575,8.9915131836
274,Cyrus Summers,Ciudad Valles,Indonesia,67941,11.8911363483
275,Emerson Flores,Watson Lake,Germany,11981,10.6077251523
276,Kyle Dodson,Bauchi,Germany,2283,10.8539399522
277,Camden Oliver,Calco,France,91790,12.2835432757
278,David Vaughn,Quilpué,Italy,70445,10.5507838742
279,Yael Calhoun,Juliaca,Ireland,33797,10.7238222990
280,Keiko Phelps,Szczecin,Mexico,80308,10.6342505887
281,Pearl Bond,Uzhhorod,Australia,38533,8.0902438062
282,Orli Stanley,Thanh Hóa,South Korea,68825,11.3133679561
283,Calvin Bullock,Itanagar,Italy,59578,9.0200849724
284,May Olsen,Mango,Peru,37144,9.1453531216
285,Dustin Mccormick,Balclutha,United States,36123,9.5109470997
286,Tanner Navarro,Cartagena,Ukraine,4526,10.6307508599
287,Jessica Baxter,Duncan,Netherlands,80693,11.0045404690
288,Hanae Pennington,Cork,Mexico,64964,11.3148137308
289,Guinevere Joyner,Culiacán,Norway,51492,10.4816156426
290,Ivor Alvarado,Söke,Netherlands,30673,12.0278696080
291,Amy Sears,Shillong,Mexico,86528,9.6689609560
292,Illana Guzman,Sichuan,Philippines,27377,11.6098796068
293,Libby Shannon,Moss,Poland,66629,10.3919916298
294,Sage Walker,La Cruz,Nigeria,36031,10.9178457171
295,Stephanie Gay,Murcia,Nigeria,80826,8.5398568720
296,Yoko Shaw,Reims,Russian Federation,52632,10.0396022678
297,Kameko Faulkner,León,Australia,90534,11.1898534354
298,Rama Cook,Zwijndrecht,South Africa,97580,9.6778593208
299,Caryn Alexander,Gbongan,Netherlands,32888,7.8598250036
300,Lionel Langley,Shanghai,China,66777,11.7616052594
301,Lev Nguyen,Raurkela Civil Township,New Zealand,79028,8.6928751374
302,Adria Flores,Yeongju,Sweden,76349,9.9138923077
303,Nadine Vaughan,Baguio,Ukraine,39961,11.0164957207
304,Haley Berg,O'Higgins,Pakistan,22553,9.3098909710
305,Harlan Key,Sissa,Ireland,43065,9.6824456702
306,Chastity Oliver,Napier,Turkey,51429,8.6442003593
307,Samantha Vance,Paraíso,Italy,21584,9.6087022027
308,Hayfa Mckay,Palangka Raya,Costa Rica,65397,8.4944568989
309,Yoshi Davidson,Cusco,Colombia,3046,11.7959308209
310,Dane Harvey,Gwangju,Austria,16939,9.2996022545
311,Claudia Giles,Montenegro,Netherlands,3134,12.0899419010
312,Jena Schwartz,Pamplona,Austria,90655,10.4330620041
313,Colton Doyle,Horten,Costa Rica,63381,11.6243740818
314,Erica Mack,Whitehorse,Canada,56018,9.4556041893
315,Amery Myers,Mansfield,Netherlands,72873,7.0925028107
316,Dahlia Hamilton,Diego de Almagro,South Korea,77366,11.6209604512
317,Omar Cash,Springfield,Chile,72232,11.9523538882
318,Debra Fisher,San Ramón,Peru,49658,8.6606910199
319,Phyllis Gutierrez,Kitsman,China,5090,9.3590506056
320,Athena Watts,Bắc Kạn,Germany,43321,10.7916929612
321,Rae Whitney,Jeju,Poland,1590,9.6236572755
322,Nita Lowe,Logan City,Belgium,51091,10.2408315451
323,Phyllis Kirkland,Ålesund,Ukraine,85420,8.6210497737
324,Moses Eaton,Nässjö,South Korea,39235,9.8349968897
325,Harlan Cortez,Lambayeque,Russian Federation,4820,8.8817689209
326,Kerry Hardy,Mohmand Agency,Colombia,12523,11.8084503091
327,Ina Dalton,Quế,Pakistan,62246,10.7002454962
328,Ainsley Barr,Lumaco,Spain,32892,9.0543125086
329,Mariko Winters,Prestatyn,United Kingdom,44134,9.3090608175
330,Rhiannon Hicks,Whakatane,Poland,31485,7.3953749022
331,Lars Cote,Treglio,Costa Rica,77183,8.9595466641
332,Isadora Hartman,Bad Oldesloe,China,14582,8.0488810149
333,Coby Cohen,Kawerau,Norway,21340,10.2374381184
334,Rosalyn Weber,Cáceres,Peru,88120,11.3188258819
335,Gwendolyn Quinn,Çermik,India,12600,9.5434092864
336,Mara Moon,Đồng Hới,Indonesia,65487,8.9546495677
337,MacKenzie Pratt,Silvassa,Italy,65150,8.2083519196
338,Ezekiel Shelton,Hijuelas,Austria,44133,12.4164923031
339,Beck Hopkins,Volgograd,Pakistan,55604,9.3155428427
340,Hunter Guthrie,Kon Tum,Pakistan,79059,10.0302149859
341,Declan Boone,Kapolei,France,67116,11.2286380792
342,Iliana Barron,Simon's Town,Norway,57522,10.3335492260
343,Mallory Burks,Oaxaca,Philippines,22946,9.6441531351
344,Victoria Blackburn,Khmelnytskyi,Canada,82693,8.5651989718
345,Conan Duffy,Bischofshofen,Colombia,91282,9.4552623498
346,Genevieve Murray,Tuluá,Peru,56719,9.3949426877
347,Beau Hahn,Pamplona,Chile,23261,10.3975412046
348,Derek Schneider,Changi Bay,Pakistan,42068,11.1388264866
349,Yolanda Hewitt,Guelph,Austria,28221,8.5112860229
350,Keiko Miles,Kleinmachnow,South Africa,45476,8.1074560056
351,Carl Dyer,Montbéliard,Vietnam,35218,9.5322645672
352,Kasimir Glover,Tampa,New Zealand,19562,10.3574708642
353,Victoria Oneal,Bajaur Agency,Brazil,20128,8.9853894950
354,Henry Booth,Montes Claros,Norway,95742,8.9559998915
355,Wade Mcintosh,Metro,Germany,6760,7.9688488793
356,Reece Clay,Nurdağı,Italy,63183,10.0752485813
357,Arthur Wise,Elbląg,Netherlands,4961,11.3250855258
358,Orla Delgado,Taupo,Belgium,4546,10.0273898889
359,Illiana Zamora,Leirvik,Indonesia,4008,11.1531908754
360,Branden Nicholson,Funtua,New Zealand,47941,10.7408728852
361,Alana Cantrell,Covington,Spain,47138,11.2437843380
362,Quinn Snow,Tain,Chile,94852,8.2398028425
363,Angela Harrington,Assen,Nigeria,46034,9.5520694222
364,Brynne Farmer,Santiago,Ukraine,21184,9.0299991881
365,Lael Stanley,Lambayeque,Sweden,46550,10.0549737891
366,Cathleen Craig,Hermosillo,Italy,9041,9.7619038350
367,Nell Morgan,Kremenchuk,South Korea,55640,9.8807268917
368,Rebecca Parker,Pavlohrad,South Africa,52882,8.2553507045
369,Forrest Woods,Guadalupe,Ireland,28540,10.0018435027
370,Orlando Tillman,Grimstad,Pakistan,50336,9.9538982303
371,Jasper Delacruz,Genappe,Indonesia,37817,11.0408293984
372,Audrey Rhodes,Caruaru,Pakistan,29719,8.2088107693
373,Rooney Gilbert,Jayapura,Peru,96714,11.4938097782
374,Dominic Anderson,Memphis,Pakistan,9490,11.1670181244
375,Virginia Price,Lambayeque,Australia,39495,9.7806355549
376,Zorita Lawson,Inner Mongolia,United States,45452,10.5819787173
377,Wanda Warren,Besançon,Sweden,62647,9.2034617733
378,Veronica Keller,St. Andrews,Brazil,2376,10.0992667704
379,Stephen Sanchez,San José del Guaviare,United Kingdom,17673,8.8049975587
380,Ella Rollins,Phúc Yên,Austria,60904,8.3817160528
381,Caleb Mcmillan,Sant'Urbano,Chile,67120,10.7785702387
382,Hoyt Brock,Eisleben,Nigeria,76810,9.6447287338
383,Ima Young,Vallentuna,South Korea,78121,8.6655194401
384,Chastity Jimenez,Davao City,Costa Rica,51669,11.4053750742
385,Montana Dotson,Paulista,China,83004,8.4630969405
386,Harlan Walls,Okene,Ireland,18838,9.8577861161
387,Claudia Brown,Mandai,Poland,41450,9.7126557149
388,Macey Harper,Mglin,Mexico,6981,7.5893145539
389,Lee Emerson,Welkom,Chile,84921,12.5116325666
390,Craig Zamora,Enns,Norway,87644,12.2452750057
391,Levi Walter,Frankenthal,Austria,44264,10.0385471573
392,Jessica Sharp,Bulzi,Ukraine,1840,9.1377388116
393,Athena Dyer,Roxas,Costa Rica,32427,12.2730719913
394,Kenyon Lambert,Darıca,Costa Rica,45836,9.4460522097
395,Angelica Sweeney,Petrópolis,United Kingdom,79634,10.5205012769
396,Sydney Sanford,Hamburg,China,67900,10.1196247781
397,Nicole Jordan,Chilpancingo,Germany,27125,8.9845126364
398,MacKenzie Delacruz,Giyani,United Kingdom,12641,11.2207270239
399,Preston Erickson,Lower Hutt,South Korea,98156,8.5456178949
400,Kiona English,Nonsan,Indonesia,2041,9.2760333695
401,Jade Shepard,Murmansk,Philippines,98330,9.0779726369
402,Evelyn Benson,Mahikeng,New Zealand,29966,10.9399284909
403,Jameson Sutton,Chitral,France,17275,10.6835176977
404,Brody Osborn,Nelson,Singapore,45796,10.5460024533
405,Stuart Steele,Heilongjiang,Ireland,24295,10.4486073248
406,Susan Greer,Vienna,Nigeria,77908,8.7083263342
407,Keiko Hahn,Trollhättan,Indonesia,43743,9.9276077833
408,Perry Faulkner,Belfast,Peru,3060,10.6911872444
409,Denise Oneal,Guadalupe,Belgium,79370,10.3639712528
410,Joel Perry,Criciúma,Norway,86504,12.1802938789
411,Kuame Dixon,Kursk,Mexico,66349,9.5976272409
412,Alexis Fitzpatrick,Kettering,South Africa,69006,8.8932529494
413,Henry Cote,Trà Vinh,Pakistan,20155,10.1194043867
414,Darryl Pena,Annapolis Royal,Vietnam,34899,10.1803640304
415,Jerome Sexton,Ulundi,Ireland,71205,10.2304135486
416,Jeremy Vance,Horsham,France,48035,10.7555157419
417,Desirae Garza,Mexico City,South Africa,68845,9.1469113001
418,Keaton Marshall,Shaki,New Zealand,55083,7.9503424064
419,Lenore Gaines,Wolverhampton,Russian Federation,14393,9.4171862956
420,Halla Williams,Flin Flon,Ireland,15501,11.3337597885
421,Cadman Mcknight,Belfast,Indonesia,66761,12.5564849562
422,Stewart Reid,Kotlas,Peru,52022,9.6362228030
423,Robert Gregory,Osasco,Italy,58529,9.7022937822
424,Miranda Munoz,Dörtyol,Sweden,82757,9.8248334477
425,Blythe Joseph,Cajazeiras,Peru,39622,7.6833034682
426,Uta Knowles,Ikot Ekpene,India,4221,12.5402853218
427,Aurora Robinson,Kostroma,South Korea,52338,10.8009747570
428,Salvador Delaney,Port Nolloth,Ireland,71813,10.8362005761
429,Jared Cherry,Berlare,Costa Rica,21867,10.3384597644
430,Nerea Evans,Shenkursk,Austria,95687,7.8905809269
431,Hiram Weiss,Massa e Cozzile,Chile,60428,9.6246252088
432,Randall Wright,Ciudad Real,New Zealand,98486,9.3850631890
433,Martin Garcia,Lambayeque,India,75269,11.2673053625
434,Travis Lloyd,Adelaide,Vietnam,3511,10.6809022395
435,Keely Jackson,PiŽtrain,Vietnam,76992,11.1587844482
436,Tatum Santos,Santander,France,74958,11.1066070707
437,Dale Boone,Kaliningrad,South Korea,46530,11.9014736673
438,Ferdinand Burke,Yogyakarta,Italy,50499,10.5408007849
439,Len Mcneil,Mthatha,United Kingdom,22160,10.5872849561
